parameter,final_mean_convergence,final_median_convergence,final_mean_remaining_spread,final_median_remaining_spread,percent_cells_lower_spread,percent_cells_half_or_less_initial_spread,percent_cells_increased_spread,n_cells,n_epochs
strf_gain,-3.3458630794703916,-2.164698697757877,4.345863079470392,3.164698697757877,16.363636363636363,0.0,83.63636363636363,220,120
strf_alpha,0.5773980849044187,0.5553728941460412,0.4226019150955813,0.4446271058539588,97.27272727272728,65.9090909090909,2.727272727272727,220,120
output_ad,-0.8462320417505127,-0.6870156389694536,1.8462320417505127,1.6870156389694535,29.545454545454547,7.727272727272727,70.45454545454545,220,120
abs_ref,-8.356791784930348,-2.0451224256438945,9.356791784930348,3.0451224256438945,26.81818181818182,18.636363636363637,73.18181818181819,220,120
rel_ref_a,-0.011349360034445616,0.013800897084627561,1.0113493600344456,0.9861991029153725,52.72727272727272,0.0,47.27272727272727,220,120
rel_ref_b,-0.020396103896568343,0.09667651272537725,1.0203961038965683,0.9033234872746227,57.72727272727273,17.272727272727273,42.27272727272727,220,120
rel_ref_c,0.8904790876227877,1.0,0.10952091237721227,0.0,95.9090909090909,90.45454545454545,2.272727272727273,220,120
on_ron_gsyn,0.24902204953103022,0.3253734436326284,0.7509779504689699,0.6746265563673717,85.9090909090909,35.45454545454545,14.09090909090909,220,120
off_ron_gsyn,0.16316828555950466,0.32002354335382954,0.8368317144404955,0.6799764566461705,88.63636363636364,36.36363636363637,11.363636363636363,220,120
on_sonoff_gsyn,0.38916624010132794,0.495052735488342,0.6108337598986722,0.504947264511658,83.18181818181817,49.54545454545455,16.818181818181817,220,120
off_sonoff_gsyn,0.4678174821525716,0.49985668330606997,0.5321825178474284,0.50014331669393,85.0,50.0,15.0,220,120
sonoff_ron_gsyn,-0.4175865501027141,-0.24920533386839938,1.417586550102714,1.2492053338683995,12.727272727272727,0.0,87.27272727272727,220,120
