parameter,final_mean_movement_ratio,final_median_movement_ratio,final_mean_learned_index,final_median_learned_index,final_mean_raw_movement,final_median_raw_movement,percent_cells_10pct_or_less_initial_movement,percent_cells_25pct_or_less_initial_movement,percent_cells_still_moving_at_or_above_initial,n_cells,n_epoch_transitions
strf_gain,0.9750888881708477,0.9840499295065781,0.02491111182915238,0.015950070493421842,0.0008750256409808625,0.0009168478427454829,0.9090909090909091,3.1818181818181817,46.36363636363636,220,119
strf_alpha,1.2479980082776359,1.3295210005410283,-0.2479980082776362,-0.3295210005410284,6.014069712449881,6.393835867134234,0.0,3.6363636363636362,75.45454545454545,220,119
output_ad,0.3568337542107993,0.28363824610409827,0.6431662457892008,0.7163617538959017,8.802500258642603e-05,7.090957175629835e-05,13.18181818181818,42.27272727272727,3.1818181818181817,220,119
abs_ref,0.17699989042440398,0.043429316882181546,0.823000109575596,0.9565706831178185,0.16170934967939982,0.04783684263626735,65.0,82.27272727272728,1.8181818181818181,220,119
rel_ref_a,0.042737196721311016,0.003048315892930406,0.957262803278689,0.9969516841070696,0.0010672979508385514,0.0007607142130533854,90.9090909090909,92.72727272727272,1.3636363636363635,220,119
rel_ref_b,0.04254914669262983,0.0019904888225047864,0.9574508533073701,0.9980095111774953,0.0015025456418907696,0.0007026835034290949,90.0,91.36363636363637,0.9090909090909091,220,119
rel_ref_c,0.15558088794827135,0.0,0.8444191120517287,1.0,0.0008304993480895504,0.0,80.0,86.36363636363636,4.545454545454546,220,119
on_ron_gsyn,0.12072579609307364,0.05459202543190875,0.8792742039069263,0.9454079745680912,0.00023817429067672823,0.0001121099436810861,64.54545454545455,84.0909090909091,0.9090909090909091,220,119
off_ron_gsyn,0.13591350386506965,0.08207889477693045,0.8640864961349303,0.9179211052230696,0.00027528975073382196,0.0001696373753172035,53.63636363636364,81.81818181818183,0.0,220,119
on_sonoff_gsyn,0.08044413153616088,0.04380781120459386,0.9195558684638391,0.9561921887954061,0.00017949561310656877,0.00010184868006035686,79.0909090909091,95.9090909090909,0.45454545454545453,220,119
off_sonoff_gsyn,0.02068297388277284,0.0012913911818336376,0.9793170261172272,0.9987086088181664,4.108959688120663e-05,2.786366773458819e-06,94.54545454545455,99.0909090909091,0.0,220,119
sonoff_ron_gsyn,0.02737798797206404,0.0014509265192739628,0.972622012027936,0.9985490734807261,6.1347274635354e-05,3.1725503504276276e-06,94.0909090909091,98.18181818181819,0.0,220,119
