epoch,median_scaled_RMS_step,p90_scaled_RMS_step,p95_scaled_RMS_step,median_scaled_max_step,median_SSE_parameter_step,median_CV_parameter_step,fraction_rolling_step_below_tolerance,median_rolling_diameter,rolling_symmetric_SSE_change,rolling_symmetric_CV_change
21,0.01763029,0.04096929,0.04686458,0.04321867,0.01651009,0.00644586,0.003333333,0.01763029,NaN,NaN
22,0.01622127,0.03698586,0.04235931,0.0401029,0.01609172,0.005784101,0.003333333,0.03430564,0.04867388,NaN
23,0.01538815,0.03396694,0.03958291,0.03847305,0.01540562,0.005222953,0.004166667,0.0488208,0.05258305,NaN
24,0.01461502,0.0323823,0.03764867,0.03596112,0.01476773,0.004819736,0.004166667,0.06319961,0.05649223,NaN
25,0.01393557,0.0311799,0.03591861,0.03434878,0.01430987,0.004370655,0.004166667,0.07644714,0.05258305,NaN
26,0.01333075,0.03029652,0.03452276,0.03321413,0.0137642,0.004101585,0.005,0.0729287,0.05284155,NaN
27,0.01264969,0.02937483,0.03336471,0.03167167,0.01344636,0.003789615,0.005833333,0.06851313,0.05284155,NaN
28,0.01201574,0.02840389,0.03244878,0.03024181,0.01285617,0.003229138,0.005833333,0.0654432,0.02822544,NaN
29,0.01148301,0.02785766,0.03145774,0.02913383,0.01220541,0.002940854,0.005833333,0.06267956,0.02306929,NaN
30,0.01105246,0.02737982,0.03030488,0.02773598,0.01170601,0.002742386,0.005833333,0.05960585,0.02306929,NaN
31,0.01070456,0.0269005,0.02967876,0.02671199,0.01122363,0.002519312,0.0075,0.05713377,0.02197536,NaN
32,0.01041744,0.02637998,0.02904886,0.02609566,0.01074417,0.002333966,0.008333334,0.05481028,0.01597784,NaN
33,0.01022534,0.02589123,0.02841547,0.02567675,0.01035903,0.002181438,0.008333334,0.05297929,0.01076304,NaN
34,0.009913906,0.0257105,0.02780985,0.02546779,0.01018598,0.002060693,0.01083333,0.05174209,0.009777288,NaN
35,0.009664994,0.02551927,0.02740711,0.0253951,0.009947717,0.001925355,0.01166667,0.05065037,0.009777288,NaN
36,0.008709054,0.02306198,0.02488849,0.02341584,0.008992285,0.001769085,0.01166667,0.04806203,0.01076304,NaN
37,0.008559259,0.02305849,0.02481292,0.02328078,0.008999446,0.001628306,0.01333333,0.04625186,0.01261197,NaN
38,0.008734297,0.02314116,0.02470112,0.02382362,0.009041702,0.001529649,0.01666667,0.04502393,0.01261197,NaN
39,0.008820873,0.0229867,0.02485695,0.02492265,0.009354264,0.001434981,0.01833333,0.04413644,0.01953314,NaN
40,0.008875225,0.02308214,0.02516317,0.02506831,0.009722702,0.001346944,0.01916667,0.04310556,0.01953314,NaN
41,0.009222948,0.02318673,0.02552681,0.02629409,0.01008947,0.00124702,0.02166667,0.04367198,0.01832434,NaN
42,0.00943115,0.02330986,0.02572662,0.02730554,0.01068828,0.001150259,0.02166667,0.04445137,0.007619685,NaN
43,0.009652363,0.0236088,0.02591567,0.02803801,0.01132002,0.001061607,0.02416667,0.04524451,0.007619685,NaN
44,0.009872152,0.02354434,0.02627286,0.02866386,0.0117099,0.000986849,0.025,0.04664933,0.007619685,NaN
45,0.01031455,0.0239678,0.02648022,0.02989817,0.01221251,0.0009266558,0.02583333,0.04793858,0.007619685,NaN
46,0.01077391,0.02416004,0.02691007,0.03092038,0.0128454,0.0008666461,0.025,0.04908531,0.007619685,NaN
47,0.01111433,0.02457672,0.02715545,0.0320407,0.01316233,0.0007959197,0.02583333,0.05122674,0.007403058,NaN
48,0.01139801,0.02506294,0.02760418,0.03303491,0.01344149,0.0007526251,0.03166667,0.05365694,0.007403058,NaN
