epoch,median_scaled_RMS_step,p90_scaled_RMS_step,p95_scaled_RMS_step,median_scaled_max_step,median_SSE_parameter_step,median_CV_parameter_step,fraction_rolling_step_below_tolerance,median_rolling_diameter,rolling_symmetric_SSE_change,rolling_symmetric_CV_change
1,0.04999948,0.04999997,0.04999999,0.05000003,0.05000001,0.04999853,0,0.04999948,NaN,NaN
2,0.04315297,0.05569154,0.0609879,0.06607616,0.04590369,0.03614547,0,0.088947,0.3612472,0.3201873
3,0.03793161,0.05205757,0.05811327,0.06549975,0.04056191,0.03027279,0.005,0.1210932,0.3600878,0.2923911
4,0.03385518,0.04995939,0.05488653,0.06172812,0.03567412,0.02513192,0.005,0.1486728,0.3220137,0.2365125
5,0.03117113,0.0470075,0.05232632,0.05814392,0.03255547,0.02290976,0.01083333,0.1730374,0.31561,0.226943
6,0.02796369,0.04599625,0.05069796,0.05405327,0.02903064,0.01963997,0.01333333,0.1520897,0.2948917,0.1977142
7,0.02575748,0.04503831,0.0511374,0.05120434,0.0268174,0.01634791,0.01666667,0.1377447,0.2656402,0.1605358
8,0.02336536,0.04252826,0.04840402,0.04736163,0.02388838,0.01277063,0.0225,0.124943,0.2399788,0.1502709
9,0.02138406,0.04260925,0.04943946,0.04707272,0.02171311,0.01121378,0.025,0.114861,0.2135892,0.1440082
10,0.0206781,0.04192927,0.04993804,0.04419164,0.02079219,0.009901514,0.02916667,0.104581,0.1766988,0.1430561
11,0.01750091,0.04072778,0.04938082,0.03918399,0.01732139,0.008298591,0.03,0.0948665,0.147652,0.1446512
12,0.01654157,0.03963788,0.04859833,0.03747398,0.01708292,0.007917572,0.03166667,0.08845814,0.1236282,0.1422147
13,0.01549668,0.04084993,0.05052681,0.03523665,0.01578531,0.006648015,0.03166667,0.08186067,0.1000077,0.137334
14,0.01468188,0.03986017,0.05250976,0.03373365,0.01376643,0.007021444,0.0325,0.07489014,0.08539635,0.1369749
15,0.01299458,0.03895971,0.05079389,0.03166365,0.01287605,0.006067772,0.03833333,0.06884037,0.07199788,0.1392391
16,0.01294836,0.0387895,0.05110213,0.03213684,0.01236461,0.005613942,0.0425,0.06411536,0.06221301,0.1261791
17,0.01312539,0.03701971,0.04710225,0.03251363,0.01211353,0.00553031,0.0475,0.06113563,0.05735635,0.121759
18,0.01222674,0.03829749,0.04990324,0.03011585,0.01159922,0.005404386,0.05,0.05769908,0.05447067,0.1180134
19,0.01104388,0.04083493,0.05590935,0.0285974,0.01052403,0.004624124,0.05583333,0.05511788,0.04643363,0.1139833
20,0.01030346,0.04255906,0.05778285,0.02639922,0.009825062,0.004251282,0.05916667,0.05320576,0.04606047,0.10907
21,0.01030379,0.03882012,0.05427613,0.02664293,0.009875704,0.00404875,0.06416667,0.05158042,0.04611391,0.1088828
22,0.009825598,0.03763659,0.05154978,0.02544401,0.009032089,0.004305933,0.06166667,0.04974197,0.04757671,0.1089396
23,0.009784974,0.04067679,0.05778528,0.02552065,0.00869743,0.004348315,0.06166667,0.04704338,0.04448007,0.118697
24,0.009762172,0.03758395,0.05042423,0.02490173,0.008713634,0.004152498,0.06083333,0.04654436,0.04401743,0.1238625
25,0.009057287,0.03421505,0.04892837,0.02346519,0.00845315,0.00346453,0.06583333,0.04440385,0.04443198,0.1200432
26,0.00908215,0.03749675,0.05394002,0.02356361,0.008161235,0.003473585,0.06916667,0.04217755,0.03953899,0.1126797
27,0.008932482,0.03674711,0.04718899,0.02397479,0.007808559,0.003392271,0.07666667,0.04197003,0.03716825,0.1134615
28,0.008394839,0.03523443,0.05088282,0.02185899,0.00722737,0.003038028,0.08666667,0.04080895,0.04063544,0.1081116
29,0.008441132,0.03335004,0.05285404,0.02219858,0.007525178,0.003182366,0.09166667,0.04002904,0.04124591,0.1189514
30,0.008034922,0.03776252,0.05839674,0.02134159,0.007338064,0.002788195,0.09666666,0.03903197,0.03934566,0.1211894
31,0.007326069,0.03483829,0.05129737,0.01889497,0.007145713,0.002561382,0.1125,0.03818857,0.03877136,0.1365791
32,0.00790357,0.03361743,0.04615381,0.020949,0.006696673,0.003204857,0.1133333,0.03713306,0.0386825,0.1445526
33,0.007938443,0.03163899,0.04392886,0.02001758,0.007519203,0.002647706,0.1275,0.03555494,0.03555725,0.1337493
34,0.007264047,0.0337926,0.05139118,0.01917442,0.006489286,0.002678231,0.1375,0.03481437,0.03331022,0.1363777
35,0.006860964,0.03325979,0.04543485,0.0180617,0.005943185,0.002847662,0.1375,0.03414247,0.03250648,0.1376944
36,0.007118052,0.03096431,0.04739524,0.0182862,0.006160419,0.002469857,0.1366667,0.03290579,0.03209307,0.1189433
37,0.006881784,0.03125434,0.04560575,0.01772533,0.005939428,0.002420368,0.1441667,0.03313256,0.03031275,0.10787
38,0.006256651,0.02872115,0.04262747,0.01658747,0.005438031,0.002343431,0.1516667,0.03276533,0.02851165,0.1088881
39,0.006368093,0.03117242,0.04617031,0.01692607,0.005333852,0.002490316,0.1575,0.03161491,0.02755253,0.09580193
40,0.006032557,0.02983824,0.04504349,0.01640475,0.005201656,0.002655817,0.1633333,0.02931956,0.02688866,0.09333132
41,0.006463724,0.03111782,0.04469374,0.0179812,0.005510488,0.002719661,0.1541667,0.03031289,0.02910128,0.09159581
42,0.006167197,0.03083624,0.04712404,0.01663324,0.004754611,0.002718842,0.1483333,0.02906993,0.02728174,0.09118231
43,0.005741618,0.03026274,0.04586018,0.01537142,0.004776048,0.00256164,0.1433333,0.02837127,0.02904639,0.09256515
44,0.00559104,0.03232647,0.04532237,0.01469659,0.004232836,0.002163505,0.1575,0.02763259,0.02904539,0.1013258
45,0.006297861,0.03123319,0.04514551,0.01660293,0.005192593,0.002232394,0.1633333,0.027658,0.03404258,0.1051537
