parameter,parameter_label,objective,raw_alignment_fraction,raw_points,raw_aligned_points,stable_green_points,stable_red_points,qualified_points,qualified_alignment_fraction,inconclusive_points,invalid_cv_points,cell_1_qualified_alignment_fraction,cell_1_stable_green_points,cell_1_stable_red_points,cell_1_qualified_points,cell_2_qualified_alignment_fraction,cell_2_stable_green_points,cell_2_stable_red_points,cell_2_qualified_points,cell_7_qualified_alignment_fraction,cell_7_stable_green_points,cell_7_stable_red_points,cell_7_qualified_points
Strf_gain,STRF gain,PSTH SSE,0.7380952380952381,42,31,13,1,14,0.9285714285714286,28,0,0.8,4,1,5,1.0,2,0,2,1.0,7,0,7
Strf_alpha,STRF alpha (ms),PSTH SSE,0.4146341463414634,41,17,8,2,10,0.8,31,0,0.6666666666666666,4,2,6,1.0,3,0,3,1.0,1,0,1
output_ad,Output adaptation,PSTH SSE,0.9166666666666666,36,33,22,0,22,1.0,14,0,1.0,8,0,8,1.0,7,0,7,1.0,7,0,7
on_ron_gSYN,on -> ron gSYN,PSTH SSE,1.0,42,42,30,0,30,1.0,12,0,1.0,11,0,11,1.0,10,0,10,1.0,9,0,9
off_ron_gSYN,off -> ron gSYN,PSTH SSE,0.9,40,36,27,0,27,1.0,13,0,1.0,9,0,9,1.0,10,0,10,1.0,8,0,8
on_sonoff_gSYN,on -> sonoff gSYN,PSTH SSE,0.45,40,18,0,0,0,,40,0,,0,0,0,,0,0,0,,0,0,0
off_sonoff_gSYN,off -> sonoff gSYN,PSTH SSE,0.575,40,23,0,0,0,,40,0,,0,0,0,,0,0,0,,0,0,0
sonoff_ron_gSYN,sonoff -> ron gSYN,PSTH SSE,0.4523809523809524,42,19,0,0,0,,42,0,,0,0,0,,0,0,0,,0,0,0
abs_ref,Absolute refractory period (ms),CV squared error,0.9705882352941176,34,33,22,0,22,1.0,12,0,1.0,9,0,9,1.0,10,0,10,1.0,3,0,3
rel_ref_a,Relative refractory a,CV squared error,0.2564102564102564,39,10,2,0,2,1.0,37,0,,0,0,0,1.0,2,0,2,,0,0,0
rel_ref_b,Relative refractory b,CV squared error,0.2,35,7,0,0,0,,35,0,,0,0,0,,0,0,0,,0,0,0
rel_ref_c,Relative refractory c,CV squared error,0.48484848484848486,33,16,7,0,7,1.0,26,0,1.0,3,0,3,1.0,1,0,1,1.0,3,0,3
