seed,row_index,row_kind,grid_index,parameter,parameter_label,objective,cell,checkpoint_batch_zero_based,parameter_value,loss,psth_sse,cv_squared_error,analytic_gradient,firing_rate_hz,spike_count,sim_cv,cv_valid
123,0,grid,0,Strf_gain,STRF gain,PSTH SSE,1,6,0.0010000000474974513,8897.0,8897.0,0.008721467107534409,-65930.1328125,12.281467064863595,366.0,1.2349894046783447,True
123,0,grid,0,Strf_gain,STRF gain,PSTH SSE,2,3,0.0010000000474974513,1676.0,1676.0,0.29539594054222107,-2369.969970703125,6.946075635045803,207.0,0.6568055152893066,True
123,0,grid,0,Strf_gain,STRF gain,PSTH SSE,7,3,0.0010000000474974513,3610.0,3610.0,0.5925397276878357,93.63355255126953,3.4898157779940266,104.0,0.9310587048530579,True
123,1,grid,1,Strf_gain,STRF gain,PSTH SSE,1,6,0.0015182418283075094,7977.0,7977.0,0.001117037609219551,-165967.34375,18.05308546693064,538.0,1.3618003129959106,True
123,1,grid,1,Strf_gain,STRF gain,PSTH SSE,2,3,0.0015182418283075094,1589.0,1589.0,0.2164636254310608,-6789.90966796875,8.254756551793564,246.0,0.7350524067878723,True
123,1,grid,1,Strf_gain,STRF gain,PSTH SSE,7,3,0.0015182418283075094,3534.0,3534.0,0.5286387801170349,-203.52139282226562,4.496493406261535,134.0,0.9737492203712463,True
123,2,grid,2,Strf_gain,STRF gain,PSTH SSE,1,6,0.0023050580639392138,7347.0,7347.0,0.0019250033656135201,-138495.171875,23.22069729203718,692.0,1.2845033407211304,True
123,2,grid,2,Strf_gain,STRF gain,PSTH SSE,2,3,0.0023050580639392138,1541.0,1541.0,0.31223782896995544,-157.96649169921875,9.999664440790577,298.0,0.641526460647583,True
123,2,grid,2,Strf_gain,STRF gain,PSTH SSE,7,3,0.0023050580639392138,3257.0,3257.0,0.49609899520874023,-3299.43359375,6.5434045837388,195.0,0.9964817762374878,True
123,3,grid,3,Strf_gain,STRF gain,PSTH SSE,1,6,0.0034996354952454567,6702.0,6702.0,0.005670571234077215,-71687.3125,29.361430824468975,875.0,1.2530750036239624,True
123,3,grid,3,Strf_gain,STRF gain,PSTH SSE,2,3,0.0034996354952454567,1440.0,1440.0,0.28287169337272644,5755.9794921875,12.046575618267843,359.0,0.6684520840644836,True
123,3,grid,3,Strf_gain,STRF gain,PSTH SSE,7,3,0.0034996354952454567,2882.0,2882.0,0.5414467453956604,-11669.052734375,9.462769705714573,282.0,0.9649940729141235,True
123,4,grid,4,Strf_gain,STRF gain,PSTH SSE,1,6,0.0053132930770516396,6331.0,6331.0,0.010776679962873459,19506.462890625,35.16660514747827,1048.0,1.2245674133300781,True
123,4,grid,4,Strf_gain,STRF gain,PSTH SSE,2,3,0.0053132930770516396,1352.0,1352.0,0.3001846969127655,3164.524169921875,13.858595349149356,413.0,0.652417778968811,True
123,4,grid,4,Strf_gain,STRF gain,PSTH SSE,7,3,0.0053132930770516396,2874.0,2874.0,0.3396342098712921,-16898.009765625,13.288144693131102,396.0,1.118043303489685,True
123,5,grid,5,Strf_gain,STRF gain,PSTH SSE,1,6,0.00806686282157898,5940.0,5940.0,0.024309717118740082,222811.59375,40.23354920975806,1199.0,1.1724624633789062,True
123,5,grid,5,Strf_gain,STRF gain,PSTH SSE,2,3,0.00806686282157898,1273.0,1273.0,0.316632479429245,-841.6826171875,15.63705915908862,466.0,0.6376078724861145,True
123,5,grid,5,Strf_gain,STRF gain,PSTH SSE,7,3,0.00806686282157898,2988.0,2988.0,0.2622189223766327,-25960.888671875,16.57662494547163,494.0,1.1887515783309937,True
123,6,grid,6,Strf_gain,STRF gain,PSTH SSE,1,6,0.012247448787093163,5392.0,5392.0,0.08045734465122223,55540.44140625,43.48847354115633,1296.0,1.04472815990448,True
123,6,grid,6,Strf_gain,STRF gain,PSTH SSE,2,3,0.012247448787093163,1186.0,1186.0,0.3586238920688629,1981.499755859375,17.21418744337438,513.0,0.6014567613601685,True
123,6,grid,6,Strf_gain,STRF gain,PSTH SSE,7,3,0.012247448787093163,3072.0,3072.0,0.13450975716114044,-31814.130859375,20.133552565350154,600.0,1.334069013595581,True
123,7,grid,7,Strf_gain,STRF gain,PSTH SSE,1,6,0.018594589084386826,5024.0,5024.0,0.15647754073143005,-226474.359375,45.2669373510956,1349.0,0.9328057765960693,True
123,7,grid,7,Strf_gain,STRF gain,PSTH SSE,2,3,0.018594589084386826,1386.0,1386.0,0.3589649498462677,53241.86328125,18.690647964833392,557.0,0.6011720895767212,True
123,7,grid,7,Strf_gain,STRF gain,PSTH SSE,7,3,0.018594589084386826,3858.0,3858.0,0.08233297616243362,97968.65625,23.42203281769068,698.0,1.4138875007629395,True
123,8,grid,8,Strf_gain,STRF gain,PSTH SSE,1,6,0.028231080621480942,5424.0,5424.0,0.2337275892496109,-483470.5,45.8709439280561,1367.0,0.8449243903160095,True
123,8,grid,8,Strf_gain,STRF gain,PSTH SSE,2,3,0.028231080621480942,1260.0,1260.0,0.38094305992126465,50970.921875,19.2275426999094,573.0,0.5831030607223511,True
123,8,grid,8,Strf_gain,STRF gain,PSTH SSE,7,3,0.028231080621480942,5363.0,5363.0,0.08925978094339371,218109.15625,26.811180832857957,799.0,1.4020609855651855,True
123,9,grid,9,Strf_gain,STRF gain,PSTH SSE,1,6,0.04286160692572594,5399.0,5399.0,0.2861482501029968,-2678798.5,45.904499848998356,1368.0,0.7934499382972717,True
123,9,grid,9,Strf_gain,STRF gain,PSTH SSE,2,3,0.04286160692572594,1281.0,1281.0,0.41011977195739746,270150.34375,19.73088151404315,588.0,0.5599029660224915,True
123,9,grid,9,Strf_gain,STRF gain,PSTH SSE,7,3,0.04286160692572594,5819.0,5819.0,0.11655381321907043,521684.5625,28.891647931277472,861.0,1.3594249486923218,True
123,10,grid,10,Strf_gain,STRF gain,PSTH SSE,1,6,0.06507427990436554,7042.0,7042.0,0.3054250180721283,-4909083.0,44.93137814167309,1339.0,0.7757254838943481,True
123,10,grid,10,Strf_gain,STRF gain,PSTH SSE,2,3,0.06507427990436554,1318.0,1318.0,0.4135149419307709,383671.03125,20.032884802523405,597.0,0.5572576522827148,True
123,10,grid,10,Strf_gain,STRF gain,PSTH SSE,7,3,0.06507427990436554,6160.0,6160.0,0.19679328799247742,704924.6875,31.542565685715243,940.0,1.2572108507156372,True
123,11,grid,11,Strf_gain,STRF gain,PSTH SSE,1,6,0.0987984910607338,20395.0,20395.0,0.0425252765417099,25303516.0,47.582295896110864,1418.0,1.122161626815796,True
123,11,grid,11,Strf_gain,STRF gain,PSTH SSE,2,3,0.0987984910607338,2316.0,2316.0,0.03321876376867294,688381.375,17.21418744337438,513.0,1.0180487632751465,True
123,11,grid,11,Strf_gain,STRF gain,PSTH SSE,7,3,0.0987984910607338,7415.0,7415.0,0.14682327210903168,1798526.125,34.93171370088252,1041.0,1.317649483680725,True
123,12,grid,12,Strf_gain,STRF gain,PSTH SSE,1,6,0.15000000596046448,63843.0,63843.0,1.3927366733551025,40378180.0,41.50867420556357,1237.0,2.5085208415985107,True
123,12,grid,12,Strf_gain,STRF gain,PSTH SSE,2,3,0.15000000596046448,1832.0,1832.0,0.05247904732823372,99422.21875,9.831884836079325,293.0,0.9712258577346802,True
123,12,grid,12,Strf_gain,STRF gain,PSTH SSE,7,3,0.15000000596046448,15563.0,15563.0,0.0028417313005775213,9207442.0,34.93171370088252,1041.0,1.6475168466567993,True
123,13,checkpoint_baseline,-1,Strf_gain,STRF gain,PSTH SSE,1,6,0.015168705955147743,4714.0,4714.0,0.12150664627552032,-186385.96875,44.52870709036609,1327.0,0.9798001646995544,True
123,13,checkpoint_baseline,-1,Strf_gain,STRF gain,PSTH SSE,2,3,0.014653658494353294,1324.0,1324.0,0.3585936427116394,23244.048828125,17.885305862219386,533.0,0.6014820337295532,True
123,13,checkpoint_baseline,-1,Strf_gain,STRF gain,PSTH SSE,7,3,0.006921572145074606,2910.0,2910.0,0.3006350100040436,4760.4853515625,15.50283547531962,462.0,1.1525228023529053,True
123,14,grid,0,Strf_alpha,STRF alpha (ms),PSTH SSE,1,6,0.10000000149011612,10908.0,10908.0,0.6123000383377075,0.0,3.120700647629274,93.0,0.5458821654319763,True
123,14,grid,0,Strf_alpha,STRF alpha (ms),PSTH SSE,2,3,0.10000000149011612,1796.0,1796.0,0.3554309606552124,0.0,4.530049327203785,135.0,0.6041285991668701,True
123,14,grid,0,Strf_alpha,STRF alpha (ms),PSTH SSE,7,3,0.10000000149011612,3720.0,3720.0,0.8989932537078857,0.0,2.751585517264521,82.0,0.7526721954345703,True
123,15,grid,1,Strf_alpha,STRF alpha (ms),PSTH SSE,1,6,0.19193831086158752,10908.0,10908.0,0.6122921109199524,0.0,3.120700647629274,93.0,0.5458872318267822,True
123,15,grid,1,Strf_alpha,STRF alpha (ms),PSTH SSE,2,3,0.19193831086158752,1796.0,1796.0,0.3554309606552124,0.0,4.530049327203785,135.0,0.6041285991668701,True
123,15,grid,1,Strf_alpha,STRF alpha (ms),PSTH SSE,7,3,0.19193831086158752,3720.0,3720.0,0.8989932537078857,0.0,2.751585517264521,82.0,0.7526721954345703,True
123,16,grid,2,Strf_alpha,STRF alpha (ms),PSTH SSE,1,6,0.3684031367301941,10900.0,10900.0,0.6134203672409058,0.0,3.120700647629274,93.0,0.5451666116714478,True
123,16,grid,2,Strf_alpha,STRF alpha (ms),PSTH SSE,2,3,0.3684031367301941,1802.0,1802.0,0.35849684476852417,-6.945496017511307e-14,4.530049327203785,135.0,0.6015628576278687,True
123,16,grid,2,Strf_alpha,STRF alpha (ms),PSTH SSE,7,3,0.3684031367301941,3720.0,3720.0,0.8990278244018555,0.0,2.751585517264521,82.0,0.752653956413269,True
123,17,grid,3,Strf_alpha,STRF alpha (ms),PSTH SSE,1,6,0.7071067690849304,10894.0,10894.0,0.602867066860199,-1.1550416729733115e-06,3.1878124895137745,95.0,0.5519330501556396,True
123,17,grid,3,Strf_alpha,STRF alpha (ms),PSTH SSE,2,3,0.7071067690849304,1787.0,1787.0,0.35285821557044983,-3.2154659379557415e-07,4.630717090030536,138.0,0.6062902212142944,True
123,17,grid,3,Strf_alpha,STRF alpha (ms),PSTH SSE,7,3,0.7071067690849304,3720.0,3720.0,0.8991392850875854,-5.450764032073172e-19,2.751585517264521,82.0,0.7525951862335205,True
123,18,grid,4,Strf_alpha,STRF alpha (ms),PSTH SSE,1,6,1.3572088479995728,10809.0,10809.0,0.54477858543396,-7.256051321746781e-05,3.422703936109526,102.0,0.5902870297431946,True
123,18,grid,4,Strf_alpha,STRF alpha (ms),PSTH SSE,2,3,1.3572088479995728,1795.0,1795.0,0.3350818455219269,0.0725131407380104,4.697828931915036,140.0,0.6214463710784912,True
123,18,grid,4,Strf_alpha,STRF alpha (ms),PSTH SSE,7,3,1.3572088479995728,3682.0,3682.0,0.9174529314041138,-7.541938202848542e-07,2.818697359149022,84.0,0.7429870963096619,True
123,19,grid,5,Strf_alpha,STRF alpha (ms),PSTH SSE,1,6,2.605003595352173,10507.0,10507.0,0.2561658024787903,-0.5699536204338074,4.832052615684037,144.0,0.8222499489784241,True
123,19,grid,5,Strf_alpha,STRF alpha (ms),PSTH SSE,2,3,2.605003595352173,1778.0,1778.0,0.31579962372779846,-0.0658802017569542,5.20116774604879,155.0,0.638348400592804,True
123,19,grid,5,Strf_alpha,STRF alpha (ms),PSTH SSE,7,3,2.605003595352173,3620.0,3620.0,0.862501323223114,-4.494390395848313e-06,3.0200328848025233,90.0,0.7721152305603027,True
123,20,grid,6,Strf_alpha,STRF alpha (ms),PSTH SSE,1,6,5.0,9613.0,9613.0,0.009510405361652374,-8.062209129333496,8.590315761216067,256.0,1.2308568954467773,True
123,20,grid,6,Strf_alpha,STRF alpha (ms),PSTH SSE,2,3,5.0,1652.0,1652.0,0.24224260449409485,-0.8607975840568542,6.140733532431797,183.0,0.7081274390220642,True
123,20,grid,6,Strf_alpha,STRF alpha (ms),PSTH SSE,7,3,5.0,3603.0,3603.0,0.5307266116142273,-0.014610562473535538,3.7247072245897788,111.0,0.9723148941993713,True
123,21,grid,7,Strf_alpha,STRF alpha (ms),PSTH SSE,1,6,9.596915245056152,8858.0,8858.0,0.1820507049560547,-71.94248962402344,16.006174289453373,477.0,1.7550522089004517,True
123,21,grid,7,Strf_alpha,STRF alpha (ms),PSTH SSE,2,3,9.596915245056152,1542.0,1542.0,0.23291826248168945,-1.5372896194458008,8.288312472735814,247.0,0.7176928520202637,True
123,21,grid,7,Strf_alpha,STRF alpha (ms),PSTH SSE,7,3,9.596915245056152,3068.0,3068.0,0.5845286250114441,-2.6872334480285645,6.57696050468105,196.0,0.9362800121307373,True
123,22,grid,8,Strf_alpha,STRF alpha (ms),PSTH SSE,1,6,18.42015838623047,8822.0,8822.0,0.2572859525680542,128.2230987548828,28.958759773161972,863.0,1.8356118202209473,True
123,22,grid,8,Strf_alpha,STRF alpha (ms),PSTH SSE,2,3,18.42015838623047,1460.0,1460.0,0.12463600933551788,-0.741124153137207,12.180799302036844,363.0,0.847270667552948,True
123,22,grid,8,Strf_alpha,STRF alpha (ms),PSTH SSE,7,3,18.42015838623047,2862.0,2862.0,0.3003082871437073,9.752907752990723,15.50283547531962,462.0,1.1528208255767822,True
123,23,grid,9,Strf_alpha,STRF alpha (ms),PSTH SSE,1,6,35.35533905029297,4161.0,4161.0,0.3004426658153534,750.9799194335938,45.43471695580685,1354.0,0.780251681804657,True
