cell_id,best_batch_zero_based,best_batch_one_based,best_psth_sse,best_sim_spikes,data_spikes
1,1,2,8825.0,484,1627
2,4,5,1400.0,299,659
3,9,10,413.0,26,235
4,11,12,689.0,67,332
5,10,11,368.0,28,154
6,12,13,2484.0,448,804
7,1,2,3340.0,198,608
8,4,5,806.0,201,395
9,0,1,2354.0,474,972
10,9,10,753.0,301,446
11,13,14,295.0,50,155
12,6,7,5494.0,1044,1408
13,2,3,1429.0,113,566
14,6,7,1230.0,203,561
15,9,10,2310.0,231,751
16,9,10,435.0,83,242
17,4,5,521.0,64,281
18,8,9,1336.0,284,672
19,10,11,2759.0,620,933
20,7,8,299.0,93,174
21,1,2,638.0,60,320
22,0,1,477.0,191,248
23,5,6,133.0,26,81
24,3,4,123.0,35,74
25,5,6,394.0,66,222
26,4,5,513.0,94,283
27,14,15,2046.0,123,697
28,8,9,967.0,139,386
29,3,4,308.0,68,160
30,6,7,645.0,76,263
31,8,9,1029.0,75,404
32,3,4,1463.0,331,740
33,9,10,607.0,67,322
34,10,11,622.0,19,171
35,2,3,328.0,56,194
36,12,13,1646.0,56,424
37,12,13,768.0,213,413
38,10,11,967.0,116,417
39,4,5,1718.0,598,882
40,10,11,682.0,63,332
41,0,1,414.0,93,213
42,13,14,1998.0,747,1079
43,8,9,40.0,7,29
44,6,7,1239.0,406,601
45,6,7,1409.0,346,657
46,14,15,265.0,61,178
47,5,6,1588.0,611,901
48,10,11,2020.0,989,1183
49,11,12,1726.0,526,734
50,13,14,766.0,112,388
51,1,2,1224.0,467,705
52,14,15,948.0,168,372
53,6,7,1840.0,595,828
54,2,3,253.0,77,146
55,5,6,835.0,199,458
56,2,3,906.0,161,445
57,0,1,25.0,4,19
58,11,12,1312.0,273,579
59,0,1,82.0,37,51
60,10,11,1778.0,222,628
61,3,4,278.0,2,124
62,12,13,241.0,53,140
63,1,2,2161.0,732,957
64,8,9,368.0,81,171
65,1,2,655.0,88,291
66,10,11,78.0,13,57
67,6,7,1415.0,252,581
68,11,12,1918.0,330,558
69,10,11,545.0,190,315
70,14,15,413.0,160,209
71,4,5,850.0,176,376
72,3,4,188.0,40,144
73,4,5,302.0,79,179
74,5,6,960.0,107,443
75,4,5,619.0,93,328
76,12,13,7575.0,927,1818
77,6,7,1362.0,270,470
78,10,11,2261.0,541,860
79,4,5,2398.0,868,1192
80,5,6,495.0,60,259
81,7,8,135.0,46,79
82,2,3,82.0,1,51
83,14,15,1037.0,108,423
84,10,11,1887.0,633,802
85,5,6,3794.0,785,1221
86,9,10,441.0,61,192
87,7,8,725.0,175,386
88,5,6,729.0,128,385
89,11,12,562.0,90,304
90,8,9,1711.0,344,679
91,11,12,1330.0,518,632
92,0,1,1631.0,471,564
93,3,4,323.0,70,139
94,7,8,208.0,38,122
95,12,13,656.0,105,211
96,3,4,1041.0,32,315
97,10,11,2492.0,488,898
98,6,7,59.0,22,39
99,0,1,636.0,50,202
100,8,9,257.0,47,140
101,12,13,1184.0,349,543
102,4,5,6323.0,587,772
103,8,9,667.0,102,327
104,7,8,1409.0,236,559
105,2,3,104.0,20,66
106,3,4,3154.0,775,1013
107,7,8,577.0,107,282
108,6,7,1128.0,338,538
109,2,3,575.0,144,285
110,13,14,1107.0,474,599
111,9,10,1935.0,488,697
112,12,13,1347.0,320,515
113,8,9,1235.0,443,598
114,1,2,259.0,79,142
115,0,1,218.0,51,123
116,1,2,1662.0,622,833
117,3,4,181.0,19,98
118,5,6,599.0,116,263
119,9,10,433.0,23,236
120,3,4,563.0,79,270
121,1,2,869.0,107,296
122,4,5,970.0,185,329
123,8,9,39.0,2,35
124,6,7,1019.0,52,371
125,0,1,400.0,19,217
126,14,15,1777.0,182,553
127,14,15,940.0,172,408
128,9,10,1324.0,311,579
129,4,5,735.0,72,167
130,7,8,900.0,242,464
131,6,7,945.0,425,568
132,14,15,2184.0,225,681
133,7,8,4859.0,353,646
134,13,14,1944.0,860,988
135,1,2,226.0,91,129
136,0,1,1047.0,98,443
137,6,7,754.0,110,360
138,7,8,186.0,39,85
139,8,9,1702.0,318,516
140,9,10,253.0,47,134
141,1,2,502.0,23,191
142,12,13,790.0,204,410
143,2,3,583.0,148,265
144,1,2,247.0,72,139
145,4,5,280.0,59,97
146,5,6,220.0,13,101
147,9,10,173.0,88,115
148,6,7,148.0,58,86
149,3,4,460.0,24,184
150,14,15,1119.0,288,521
