cell_id,best_batch_zero_based,best_batch_one_based,best_psth_sse,best_sim_spikes,data_spikes
1,2,3,3364.0,1677,1627
2,0,1,1167.0,600,659
3,8,9,420.0,57,235
4,4,5,558.0,206,332
5,2,3,372.0,54,154
6,1,2,1923.0,639,804
7,6,7,2443.0,459,608
8,8,9,740.0,305,395
9,8,9,1754.0,1022,972
10,1,2,933.0,563,446
11,6,7,289.0,66,155
12,2,3,3645.0,1467,1408
13,2,3,1068.0,522,566
14,11,12,1008.0,563,561
15,5,6,1470.0,869,751
16,11,12,414.0,118,242
17,4,5,509.0,88,281
18,8,9,1034.0,672,672
19,2,3,1842.0,1009,933
20,3,4,330.0,136,174
21,0,1,581.0,357,320
22,2,3,560.0,340,248
23,5,6,141.0,38,81
24,8,9,121.0,29,74
25,8,9,450.0,164,222
26,2,3,557.0,244,283
27,2,3,1184.0,581,697
28,5,6,914.0,264,386
29,2,3,327.0,59,160
30,5,6,645.0,172,263
31,10,11,922.0,352,404
32,7,8,1190.0,726,740
33,1,2,672.0,372,322
34,11,12,595.0,54,171
35,1,2,396.0,178,194
36,5,6,1388.0,246,424
37,3,4,720.0,415,413
38,11,12,851.0,482,417
39,11,12,1672.0,912,882
40,10,11,692.0,53,332
41,2,3,466.0,71,213
42,8,9,1669.0,994,1079
43,11,12,51.0,18,29
44,9,10,1037.0,456,601
45,4,5,1031.0,582,657
46,11,12,294.0,146,178
47,3,4,1335.0,862,901
48,6,7,1918.0,1095,1183
49,10,11,1266.0,792,734
50,3,4,750.0,254,388
51,4,5,1213.0,670,705
52,5,6,836.0,326,372
53,4,5,1504.0,846,828
54,4,5,234.0,112,146
55,4,5,851.0,345,458
56,4,5,742.0,487,445
57,3,4,28.0,11,19
58,6,7,1252.0,595,579
59,4,5,114.0,55,51
60,4,5,1271.0,587,628
61,2,3,274.0,14,124
62,7,8,246.0,98,140
63,11,12,2122.0,868,957
64,2,3,429.0,144,171
65,6,7,649.0,162,291
66,5,6,109.0,42,57
67,3,4,1257.0,326,581
68,2,3,1349.0,527,558
69,5,6,555.0,284,315
70,3,4,502.0,285,209
71,5,6,897.0,399,376
72,5,6,215.0,67,144
73,6,7,323.0,170,179
74,8,9,755.0,356,443
75,1,2,575.0,324,328
76,6,7,4122.0,2068,1818
77,10,11,1132.0,456,470
78,1,2,1994.0,768,860
79,1,2,2479.0,1427,1192
80,2,3,508.0,59,259
81,9,10,143.0,60,79
82,5,6,94.0,9,51
83,5,6,887.0,336,423
84,9,10,1649.0,865,802
85,7,8,1794.0,1233,1221
86,4,5,424.0,94,192
87,9,10,795.0,369,386
88,3,4,710.0,363,385
89,1,2,518.0,286,304
90,5,6,1594.0,641,679
91,2,3,1308.0,642,632
92,6,7,1815.0,703,564
93,0,1,405.0,190,139
94,2,3,216.0,72,122
95,8,9,701.0,124,211
96,7,8,953.0,96,315
97,6,7,1899.0,1035,898
98,3,4,128.0,73,39
99,8,9,613.0,87,202
100,9,10,265.0,51,140
101,0,1,1100.0,597,543
102,10,11,4812.0,810,772
103,9,10,635.0,150,327
104,1,2,1292.0,397,559
105,1,2,114.0,34,66
106,2,3,2767.0,1074,1013
107,10,11,621.0,213,282
108,5,6,1100.0,530,538
109,4,5,709.0,336,285
110,5,6,1186.0,611,599
111,6,7,2003.0,478,697
112,0,1,1216.0,531,515
113,5,6,1222.0,520,598
114,8,9,323.0,163,142
115,8,9,207.0,46,123
116,8,9,1584.0,815,833
117,2,3,160.0,24,98
118,3,4,573.0,170,263
119,11,12,434.0,40,236
120,3,4,621.0,305,270
121,8,9,963.0,271,296
122,7,8,1071.0,334,329
123,5,6,100.0,71,35
124,8,9,904.0,455,371
125,8,9,396.0,25,217
126,7,8,1445.0,454,553
127,4,5,785.0,319,408
128,4,5,1137.0,628,579
129,11,12,770.0,139,167
130,6,7,863.0,509,464
131,3,4,1042.0,580,568
132,6,7,1507.0,770,681
133,11,12,4405.0,699,646
134,8,9,2208.0,994,988
135,3,4,251.0,116,129
136,1,2,769.0,310,443
137,7,8,716.0,196,360
138,3,4,182.0,69,85
139,0,1,1509.0,343,516
140,1,2,337.0,137,134
141,8,9,492.0,25,191
142,4,5,820.0,396,410
143,3,4,609.0,310,265
144,9,10,215.0,76,139
145,7,8,287.0,64,97
146,5,6,218.0,11,101
147,10,11,243.0,174,115
148,6,7,206.0,108,86
149,7,8,441.0,151,184
150,3,4,1096.0,539,521
151,11,12,90.0,29,55
152,4,5,304.0,41,163
153,5,6,61.0,42,27
154,7,8,846.0,396,504
155,5,6,129.0,98,27
156,3,4,262.0,146,106
157,6,7,1486.0,650,668
158,4,5,97.0,21,58
159,2,3,126.0,91,51
160,1,2,101.0,63,34
161,3,4,222.0,139,87
162,10,11,1084.0,342,414
163,5,6,2945.0,1346,1279
164,4,5,156.0,88,58
165,6,7,2599.0,1437,1440
166,4,5,328.0,163,135
167,9,10,544.0,190,262
168,11,12,936.0,366,442
169,1,2,567.0,283,190
170,11,12,395.0,143,194
171,11,12,1475.0,631,696
172,4,5,351.0,20,165
173,6,7,1267.0,655,620
174,6,7,2147.0,1364,1275
175,4,5,774.0,370,384
176,4,5,390.0,66,198
177,0,1,616.0,36,278
178,1,2,1013.0,586,541
179,4,5,351.0,201,132
180,4,5,91.0,24,51
181,9,10,372.0,151,159
182,0,1,62.0,33,25
183,11,12,252.0,39,145
184,6,7,500.0,211,211
185,7,8,676.0,239,341
186,5,6,4117.0,993,974
187,0,1,319.0,108,159
188,3,4,1115.0,253,280
189,9,10,424.0,51,243
190,5,6,2010.0,1302,1314
191,9,10,581.0,293,266
192,0,1,2413.0,1092,1111
193,5,6,844.0,449,527
194,9,10,1798.0,642,700
195,2,3,1018.0,335,485
196,10,11,1069.0,600,627
197,2,3,475.0,192,181
198,9,10,222.0,141,113
199,10,11,195.0,43,94
200,8,9,1427.0,752,543
201,5,6,506.0,218,230
202,11,12,2233.0,1095,1024
203,0,1,1114.0,536,476
204,5,6,143.0,21,78
205,5,6,779.0,135,152
206,10,11,24.0,4,20
207,4,5,36.0,18,30
208,3,4,532.0,225,173
209,5,6,250.0,128,114
210,2,3,2971.0,1134,1073
211,1,2,424.0,213,237
212,5,6,364.0,181,239
213,2,3,514.0,181,257
214,3,4,317.0,178,155
215,3,4,721.0,139,310
216,2,3,1207.0,573,626
217,2,3,614.0,261,221
218,5,6,1105.0,461,454
219,11,12,1113.0,401,382
220,8,9,1641.0,354,577
