seed,init_id,cell,epsilon,center_gain,gain_minus,gain_plus,actual_log_span,loss_minus,loss_center,loss_plus,fd_gradient_gain,fd_gradient_log_gain,analytic_gradient_gain,analytic_gradient_log_gain,loss_difference_exact_zero,center_firing_rate_hz
123,0,1,0.0025,0.0103693585842847,0.0103434678167104,0.0103953145444393,0.0049999884120001566,5497.0,5502.0,5452.0,-867942.9150340696,-9000.02085844806,-5691.498046875,-59.01718412980336,False,37.41485185060904
123,0,1,0.005,0.0103693585842847,0.0103176413103938,0.0104213347658514,0.009999945916106897,5488.0,5502.0,5424.0,-617203.8506920916,-6400.034613878792,-5691.498046875,-59.01718412980336,False,37.41485185060904
123,0,1,0.01,0.0103693585842847,0.010266182012856,0.0104735726490616,0.020000000247034386,5557.0,5502.0,5494.0,-303774.5635610271,-3149.9999610920845,-5691.498046875,-59.01718412980336,False,37.41485185060904
123,0,1,0.02,0.0103693585842847,0.0101640317589044,0.0105788335204124,0.03999997698338801,5582.0,5502.0,5499.0,-200095.58228069195,-2075.001193987434,-5691.498046875,-59.01718412980336,False,37.41485185060904
123,0,1,0.05,0.0103693585842847,0.0098636392503976,0.0109010068699717,0.09999996551169933,5590.0,5502.0,5274.0,-304617.18106232834,-3160.001089830677,-5691.498046875,-59.01718412980336,False,37.41485185060904
123,0,1,0.1,0.0103693585842847,0.0093825841322541,0.0114599140360951,0.19999999112472408,5851.0,5502.0,5159.0,-333119.9337767612,-3460.0001535422803,-5691.498046875,-59.01718412980336,False,37.41485185060904
123,0,2,0.0025,0.0017865144181996,0.0017820536158978,0.0017909863963723,0.005000111420305943,9886.0,9915.0,9837.0,-5485414.103691213,-9799.781621066722,5592234.0,9990.606670946348,False,72.41367739337606
123,0,2,0.005,0.0017865144181996,0.0017776041058823,0.0017954693175852,0.0099999963403884,9832.0,9915.0,9909.0,4310052.479674848,7700.002817901963,5592234.0,9990.606670946348,False,72.41367739337606
123,0,2,0.01,0.0017865144181996,0.0017687382642179,0.001804469153285,0.02000000331028129,9739.0,9915.0,10028.0,8088239.826814203,14449.997608322165,5592234.0,9990.606670946348,False,72.41367739337606
123,0,2,0.02,0.0017865144181996,0.0017511390615254,0.0018226043321192,0.0399999614696502,9682.0,9915.0,10250.0,7947916.453411957,14200.013678287354,5592234.0,9990.606670946348,False,72.41367739337606
