seed,init_id,cell,epsilon,center_gain,gain_minus,gain_plus,actual_log_span,loss_minus,loss_center,loss_plus,fd_gradient_gain,fd_gradient_log_gain,analytic_gradient_gain,analytic_gradient_log_gain,loss_difference_exact_zero,center_firing_rate_hz
123,0,1,0.0025,0.018534181639552116,0.018487904220819473,0.01858057640492916,0.005000063429477858,12131.0,12142.0,12018.0,-1219351.8593049666,-22599.7133023971,59263392.0,1098398.4719039798,False,109.3587463507936
123,0,1,0.005,0.018534181639552116,0.018441742286086082,0.01862708479166031,0.009999995397878507,12090.0,12142.0,12089.0,-5395.416431335108,-100.0000460212361,59263392.0,1098398.4719039798,False,109.3587463507936
123,0,1,0.01,0.018534181639552116,0.01834976300597191,0.01872045360505581,0.020000042583898394,12062.0,12142.0,12230.0,453208.14829182014,8399.982114800756,59263392.0,1098398.4719039798,False,109.3587463507936
123,0,1,0.02,0.018534181639552116,0.018167180940508842,0.01890859752893448,0.03999999309045897,11996.0,12142.0,12080.0,113296.62879322689,2100.000362750967,59263392.0,1098398.4719039798,False,109.3587463507936
123,0,1,0.05,0.018534181639552116,0.017630258575081825,0.019484449177980423,0.10000000629456769,11902.0,12142.0,12296.0,212491.63887686207,3939.9997519940484,59263392.0,1098398.4719039798,False,109.3587463507936
123,0,1,0.1,0.018534181639552116,0.016770420596003532,0.020483439788222313,0.20000008869396835,11695.0,12142.0,12511.0,219767.24540235536,4079.998190643848,59263392.0,1098398.4719039798,False,109.3587463507936
123,0,2,0.0025,0.006555918604135513,0.006539549212902784,0.006572328973561525,0.005000020360816951,20600.0,20573.0,20541.0,-1799891.116174674,-11799.951948667669,20970788.0,137482.77919258177,False,102.47978255763229
123,0,2,0.005,0.006555918604135513,0.0065232207998633385,0.0065887803211808205,0.010000009463350066,20577.0,20573.0,20586.0,137279.8308946785,899.9991482993001,20970788.0,137482.77919258177,False,102.47978255763229
123,0,2,0.01,0.006555918604135513,0.006490685977041721,0.0066218068823218346,0.02000005298417995,20575.0,20573.0,20584.0,68638.9403792883,449.9988078591094,20970788.0,137482.77919258177,False,102.47978255763229
123,0,2,0.02,0.006555918604135513,0.006426102947443724,0.00668835686519742,0.03999995236924866,20401.0,20573.0,20732.0,1262135.5777451855,8275.009853623418,20970788.0,137482.77919258177,False,102.47978255763229
123,0,2,0.05,0.006555918604135513,0.006236182991415262,0.006892047822475433,0.0999999623573846,20012.0,20573.0,21050.0,1582643.1771347267,10380.003907304948,20970788.0,137482.77919258177,False,102.47978255763229
123,0,2,0.1,0.006555918604135513,0.005932040512561798,0.0072454106993973255,0.20000000770646145,19717.0,20573.0,21538.0,1386509.3164537034,9104.999649163356,20970788.0,137482.77919258177,False,102.47978255763229
123,0,7,0.0025,0.006742481142282486,0.006725645624101162,0.006759358569979668,0.005000074991550197,22930.0,23000.0,22992.0,1839056.1365783585,12399.81402374484,20358542.0,137267.08551936597,False,100.39931545921277
123,0,7,0.005,0.006742481142282486,0.00670885294675827,0.006776277907192707,0.009999980428253254,22858.0,23000.0,22989.0,1942900.6580935675,13100.025639038417,20358542.0,137267.08551936597,False,100.39931545921277
123,0,7,0.01,0.006742481142282486,0.006675392389297485,0.006810244172811508,0.019999987085016144,23004.0,23000.0,23067.0,467179.5830824056,3150.002034111271,20358542.0,137267.08551936597,False,100.39931545921277
123,0,7,0.02,0.006742481142282486,0.006608970928937197,0.006878688000142574,0.03999997833605257,22797.0,23000.0,23211.0,1534941.77491182,10350.005605549433,20358542.0,137267.08551936597,False,100.39931545921277
123,0,7,0.05,0.006742481142282486,0.006413646508008242,0.007088175509124994,0.09999998725438647,22284.0,23000.0,23333.0,1555159.2270506856,10490.00133701503,20358542.0,137267.08551936597,False,100.39931545921277
123,0,7,0.1,0.006742481142282486,0.006100849248468876,0.007451594341546297,0.20000003252284076,21301.0,23000.0,23635.0,1727935.2055112158,11669.99810229255,20358542.0,137267.08551936597,False,100.39931545921277
