seed,sim_len,row_index,init_id,cell,row_kind,offset_index,log_offset,epsilon,center_gain,gain,loss,analytic_gradient_gain,analytic_gradient_log_gain,firing_rate_hz,spike_count
123,29801,0,0,1,minus,0,-0.1,0.1,0.018534181639552116,0.016770420596003532,11695.0,48885800.0,906058.2967948169,108.05006543404583,3220.0
123,29801,0,0,2,minus,0,-0.1,0.1,0.006555918604135513,0.005932040512561798,19717.0,18436008.0,120864.96783319116,100.33220361732828,2990.0
123,29801,0,0,7,minus,0,-0.1,0.1,0.006742481142282486,0.006100849248468876,21301.0,18130462.0,122244.2981358692,97.1443911278145,2895.0
123,29801,1,0,1,minus,1,-0.05,0.05,0.018534181639552116,0.017630258575081825,11902.0,53649164.0,994343.3503861204,108.68762793194858,3239.0
123,29801,1,0,2,minus,1,-0.05,0.05,0.006555918604135513,0.006236182991415262,20012.0,20672484.0,135527.12244929373,101.23821348276903,3017.0
123,29801,1,0,7,minus,1,-0.05,0.05,0.006742481142282486,0.006413646508008242,22284.0,17794864.0,119981.53494948149,98.72151941210026,2942.0
123,29801,2,0,1,minus,2,-0.02,0.02,0.018534181639552116,0.018167180940508842,11996.0,58271424.0,1080013.1568113565,108.88896345760209,3245.0
123,29801,2,0,2,minus,2,-0.02,0.02,0.006555918604135513,0.006426102947443724,20401.0,20625854.0,135221.4199647829,102.21133519009429,3046.0
123,29801,2,0,7,minus,2,-0.02,0.02,0.006742481142282486,0.006608970928937197,22797.0,19099400.0,128777.34432891011,99.76175296131002,2973.0
123,29801,3,0,1,minus,3,-0.01,0.01,0.018534181639552116,0.01834976300597191,12062.0,57949640.0,1074049.153706655,109.0902989832556,3251.0
123,29801,3,0,2,minus,3,-0.01,0.01,0.006555918604135513,0.006490685977041721,20575.0,20526662.0,134571.12528660148,102.47978255763229,3054.0
123,29801,3,0,7,minus,3,-0.01,0.01,0.006742481142282486,0.006675392389297485,23004.0,20113218.0,135612.99307561666,100.06375624979027,2982.0
123,29801,4,0,1,minus,4,-0.005,0.005,0.018534181639552116,0.018441742286086082,12090.0,58697716.0,1087914.1301708445,109.22452266702459,3255.0
123,29801,4,0,2,minus,4,-0.005,0.005,0.006555918604135513,0.0065232207998633385,20577.0,20999476.0,137670.8553854972,102.54689439951679,3056.0
123,29801,4,0,7,minus,4,-0.005,0.005,0.006742481142282486,0.00670885294675827,22858.0,19903230.0,134197.15294551104,99.99664440790576,2980.0
123,29801,5,0,1,minus,5,-0.0025,0.0025,0.018534181639552116,0.018487904220819473,12131.0,59445536.0,1101774.3618845344,109.25807858796684,3256.0
123,29801,5,0,2,minus,5,-0.0025,0.0025,0.006555918604135513,0.006539549212902784,20600.0,21066524.0,138110.4166160673,102.58045032045904,3057.0
123,29801,5,0,7,minus,5,-0.0025,0.0025,0.006742481142282486,0.006725645624101162,22930.0,19949456.0,134508.8308787942,100.26509177544376,2988.0
